Month,International arrivals (excl. Transits),International departures (excl. Transits,Transit Movements,Domestic arrivals,Domestic departures,International aircraft movements,Domestic aircraft movements,International MCTOW,Domestic MCTOW
January 2013,"3,63,557","3,56,516","65,486","2,80,521","2,71,547","3,887","9,259","3,66,765","1,58,020"
February 2013,"3,18,407","2,89,124","40,416","2,76,995","2,75,882","3,408","8,873","3,27,126","1,51,598"
March 2013,"3,09,525","3,38,908","43,592","3,20,755","3,03,866","5,556","14,682","5,19,300","2,53,986"
April 2013,"2,74,498","3,32,488","46,886","3,12,908","2,93,615","4,448","11,421","4,02,147","1,94,746"
May 2013,"2,64,321","2,83,105","51,458","2,90,023","2,78,278","3,582","9,174","3,33,192","1,55,020"
June 2013,"2,61,493","2,72,050","68,394","2,64,636","2,52,252","3,568","8,337","3,33,509","1,42,489"
July 2013,"3,22,656","3,20,159","73,030","2,94,533","2,94,600","3,982","9,309","3,67,949","1,60,395"
August 2013,"3,00,538","3,07,354","63,628","2,87,773","2,82,265","3,796","9,146","3,56,192","1,54,571"
September 2013,"3,05,167","2,95,039","64,222","2,78,322","2,79,982","3,962","9,667","3,74,579","1,71,246"
October 2013,"3,38,432","2,91,007","61,616","3,04,312","3,07,613","4,457","11,196","4,11,647","1,89,963"
November 2013,"3,16,054","2,97,044","57,196","2,96,677","2,94,742","3,611","9,371","3,44,506","1,62,030"
December 2013,"3,84,821","3,60,524","72,864","3,00,623","3,04,886","4,146","9,416","3,96,488","1,60,868"
January 2014,"3,92,050","3,77,490","75,792","2,81,001","2,71,531","4,143","8,771","4,04,572","1,48,457"
February 2014,"3,40,264","3,18,401","46,322","2,91,704","2,78,409","3,583","8,321","3,47,290","1,47,344"
March 2014,"3,03,463","3,41,399","54,698","3,18,287","3,02,565","3,826","9,212","3,64,552","1,66,010"
April 2014,"2,95,854","3,47,924","49,816","3,01,377","2,79,158","3,763","8,718","3,46,664","1,57,534"
May 2014,"2,78,701","3,00,644","59,860","2,90,201","2,77,884","3,710","8,616","3,51,456","1,52,571"
June 2014,"2,69,164","2,83,897","72,400","2,71,684","2,59,099","3,704","7,947","3,55,040","1,46,003"
